id,name,city,region,geom,created_at,boundary,school_count,hospital_count
202,Rajendra Nagar,Hyderabad,West Hyderabad,POINT(78.4020096 17.3200305),2026-02-13 12:14:23.913496,"POLYGON((78.42081189279894 17.320273581921626,78.42049980355652 17.31674557562411,78.41947717006995 17.313343841047963,78.41778332914527 17.31019909926207,78.41548340234462 17.30743218833122,78.41266578911886 17.305149421496083,78.40943876746125 17.303438504290373,78.40592633304956 17.302365167091622,78.4022634367424 17.301970642056638,78.3985908030577 17.302270080959993,78.39504952806371 17.303251974378956,78.39177566339461 17.30487859432387,78.38889499357548 17.307087443253277,78.38651820649346 17.309793653916287,78.38473664195806 17.31289324808486,78.38361878138839 17.316267129348628,78.38320761355081 17.319785656991296,78.38351897796517 17.32331362562373,78.38454095033318 17.326715459574004,78.38623429449811 17.329860422644412,78.38853396452498 17.332627643081636,78.39135160005445 17.334910760525457,78.39457891969771 17.336622016065178,78.39809188241144 17.33769562781496,78.40175545690782 17.33809032182009,78.40542881542072 17.337790920581806,78.40897075153333 17.336808927788688,78.41224511296215 17.335182086559197,78.41512603955496 17.332972928123386,78.41750280433315 17.330266366851692,78.41928407088282 17.327166434349152,78.42040140315045 17.32379227853441,78.42081189279894 17.320273581921626))",0,0
207,Sainikpuri,Hyderabad,West Hyderabad,POINT(78.5424889 17.4892154),2026-02-13 12:14:23.964694,"POLYGON((78.56131053944223 17.48944746922453,78.56099588428238 17.48591935355141,78.55997004129173 17.482517937021537,78.55827247082169 17.479373928098973,78.55596843773736 17.476608136332008,78.55314649904639 17.474326831682745,78.5499150985353 17.472617663348423,78.54639839960589 17.47154629449934,78.54273151641026 17.47115388179687,78.53905532614372 17.47145549611083,78.53551106114999 17.47243954477222,78.53223488776108 17.474068217348993,78.52935267924575 17.476278937771106,78.5269751828673 17.47898676713709,78.5251937661247 17.482087665158705,78.52407690531022 17.485462485318486,78.52366755135985 17.488981550671937,78.52398147462378 17.49250963489507,78.52500665287103 17.495911157520275,78.52670372695133 17.499055393931425,78.5290075075704 17.501821499947173,78.5318294761562 17.504103157763907,78.535061184371 17.505812664417828,78.53857842196793 17.50688430523254,78.54224599278761 17.507276882142346,78.5459229149502 17.50697529927836,78.5494678446874 17.505991144521598,78.55274451446603 17.50436224445619,78.55562697544651 17.50215120978525,78.55800444193 17.499443027251804,78.55978555096883 17.496341790910645,78.56090187311582 17.49296669878529,78.56131053944223 17.48944746922453))",0,0
208,Sanath Nagar,Hyderabad,West Hyderabad,POINT(78.4446705 17.4522594),2026-02-13 12:14:23.964694,"POLYGON((78.46348693371121 17.452500243226645,78.46317415242493 17.44897220871125,78.46215031064298 17.4455705331783,78.46045479185719 17.44242593526062,78.45815278223381 17.43965924730908,78.4553327612445 17.43737677382047,78.45210309924819 17.435666208917194,78.44858789310824 17.434593269357663,78.44492219984333 17.434199172007315,78.44124685108035 17.43449905226633,78.43770304688641 17.43548138387446,78.43442693583974 17.437108422169707,78.43154438866732 17.439317653718657,78.42916616542254 17.442024196741524,78.42738366126895 17.445124060376063,78.42626539401554 17.448498137936898,78.42585436841318 17.452016781174564,78.42616641889254 17.455544780196472,78.42718959513053 17.458946558039322,78.42888461495842 17.46209138049455,78.43118636817175 17.464858381027483,78.43400641433496 17.46714120755367,78.43723637925673 17.46885211220392,78.44075211995597 17.469925326496423,78.44441849803223 17.470319591740118,78.44809457760229 17.470019746974586,78.45163904734025 17.46903731305651,78.45491565734478 17.46741005022367,78.45779846092715 17.465200506093282,78.46017665899788 17.462493610032848,78.46195886022599 17.45939340665138,78.4630765929201 17.456019054357633,78.46348693371121 17.452500243226645))",0,0
102,Himayat Nagar,Hyderabad,West Hyderabad,POINT(78.483456 17.4039678),2026-02-13 12:14:23.373264,,0,0
142,LB Nagar,Hyderabad,West Hyderabad,POINT(78.5510938 17.3501617),2026-02-13 12:14:23.618653,,0,0
184,Osman Nagar,Hyderabad,West Hyderabad,POINT(78.2782231 17.4418133),2026-02-13 12:14:23.874730,,0,0
233,Uppal,Hyderabad,West Hyderabad,POINT(78.5612562 17.4025091),2026-02-13 12:14:24.083674,"POLYGON((78.58006920849932 17.40273828731402,78.57975411193244 17.399210147090884,78.57872817609271 17.395808817512435,78.57703086467153 17.39266500371926,78.57472743239875 17.389899507819297,78.57190641308857 17.387618588494544,78.56867621518295 17.385909880242135,78.56516095594831 17.384839028660803,78.56149569437139 17.38444717062755,78.55782124554746 17.38474935576101,78.55427877513894 17.385733969481073,78.55100438074108 17.387363179622866,78.54812386743711 17.38957438939971,78.54574791744919 17.39228264101464,78.5439678388628 17.39538387784496,78.5428520564657 17.398758940243848,78.54244347958975 17.402278141863714,78.54275784850468 17.4058062510794,78.54378312361187 17.409207686437636,78.54547994181053 17.41235172669382,78.54778312345937 17.41511753526307,78.5506041728995 17.41739880586236,78.55383467710199 17.419107850516156,78.55735047216945 17.42017897241168,78.5610164175395 17.42057099351902,78.56469159401553 17.420268839393003,78.56823472515663 17.419284119893103,78.57150961277702 17.417654683288248,78.57439037670478 17.415443160842084,78.57676629656262 17.41273455795264,78.5785460688521 17.409632984720965,78.57966131541639 17.406257652007934,78.58006920849932 17.40273828731402))",0,0
251,Gagillapur,Hyderabad,West Hyderabad,POINT(78.3884098 17.6134532),2026-02-19 10:31:28.765559,,0,0
1,Gachibowli,Hyderabad,West Hyderabad,POINT(78.3519638 17.4436222),2025-12-25 12:25:41.878528,"POLYGON((78.37077796203499 17.44387168795216,78.37046697891567 17.440343742911722,78.3694449528907 17.436941821380042,78.36775119777796 17.433796651631074,78.36545083214786 17.431029088124657,78.36263227252414 17.42874546906438,78.35940383334993 17.427033532572892,78.35588956471679 17.42595904801493,78.35222448777914 17.425563291462442,78.34854941056076 17.425861461872387,78.34500552268135 17.42684209848042,78.34172897583066 17.428467521574913,78.33884565730251 17.430675279659905,78.33646635656334 17.43338054752016,78.33468250994044 17.436479383320552,78.3335626866126 17.439852719977754,78.3331499509659 17.443370937881703,78.3334602030648 17.44689884369055,78.33448156170903 17.450300864235867,78.33617481468333 17.453446256169777,78.33847491986337 17.45621413120681,78.34129350037654 17.45849810371567,78.34452223859951 17.460210381764377,78.34803703891332 17.461285143989176,78.35170279921994 17.461681072045867,78.35537860745883 17.4613829408675,78.35892316271908 17.460402205245792,78.36220021170816 17.458776559966296,78.36508379068628 17.45656849035066,78.36746307053589 17.453862869041824,78.36924661810994 17.45076369168426,78.37036590975714 17.447390077360264,78.37077796203499 17.44387168795216))",0,0
110,Isnapur,Hyderabad,West Hyderabad,POINT(78.1978941 17.5441251),2026-02-13 12:14:23.434929,,0,0
126,Kavadiguda,Hyderabad,West Hyderabad,POINT(78.4917695 17.4227022),2026-02-13 12:14:23.555039,,0,0
122,Kandlakoya,Hyderabad,West Hyderabad,POINT(78.4902208 17.5998332),2026-02-13 12:14:23.486438,,0,0
124,Kapra,Hyderabad,West Hyderabad,POINT(78.5610095 17.4846356),2026-02-13 12:14:23.555039,,0,0
125,Karmanghat,Hyderabad,West Hyderabad,POINT(78.5329747 17.3410061),2026-02-13 12:14:23.555039,,0,0
127,Keesara,Hyderabad,West Hyderabad,POINT(78.6665345 17.5249309),2026-02-13 12:14:23.555039,,0,0
128,Khajaguda,Hyderabad,West Hyderabad,POINT(78.3656108 17.4172202),2026-02-13 12:14:23.555039,,0,0
129,Kismatpur,Hyderabad,West Hyderabad,POINT(78.3926988 17.3351206),2026-02-13 12:14:23.555039,,0,0
158,Mansoorabad,Hyderabad,West Hyderabad,POINT(78.5652906 17.3541765),2026-02-13 12:14:23.730606,,0,0
159,Medchal,Hyderabad,West Hyderabad,POINT(78.4843146 17.6339929),2026-02-13 12:14:23.730606,,0,0
224,Tellapur,Hyderabad,West Hyderabad,POINT(78.2863481 17.4654913),2026-02-13 12:14:24.083674,,0,0
230,Tukkuguda,Hyderabad,West Hyderabad,POINT(78.4767822 17.2090428),2026-02-13 12:14:24.083674,,0,0
250,Raviryal,Hyderabad,West Hyderabad,POINT(78.5132253 17.2164625),2026-02-19 10:31:28.765559,,0,0
252,Lingampally,Hyderabad,West Hyderabad,POINT(78.316112 17.4881832),2026-02-19 10:31:28.765559,,0,0
258,Punjagutta,Hyderabad,West Hyderabad,POINT(78.4519072 17.4286964),2026-02-19 10:31:28.765559,,0,0
5,Financial District,Hyderabad,West Hyderabad,POINT(78.338635 17.4129831),2025-12-25 18:48:04.444138,"POLYGON((78.3299165 17.4241368,78.3318001 17.4230552,78.3322298 17.4237343,78.3319213 17.4239066,78.3313843 17.4250372,78.3315931 17.4253638,78.3313275 17.4255983,78.3310535 17.4258268,78.3310215 17.4258686,78.3309179 17.4261654,78.3309066 17.4264954,78.3303041 17.4265263,78.3300856 17.4255031,78.3299165 17.4241368))",0,0
