id,location_id,trend_date,quarter,average_price,min_price,max_price,data_points,created_at
13112,202,2021-02-15,2021Q1,6862.32,3813.73,11734.54,10,2026-02-19 12:22:34.999368
13113,202,2021-05-15,2021Q2,7068.19,3928.14,12086.57,10,2026-02-19 12:22:34.999368
13114,202,2021-08-15,2021Q3,7280.24,4045.98,12449.17,10,2026-02-19 12:22:34.999368
13115,202,2021-11-15,2021Q4,7498.64,4167.36,12822.65,10,2026-02-19 12:22:34.999368
13116,202,2022-02-15,2022Q1,7723.6,4292.38,13207.33,10,2026-02-19 12:22:34.999368
13117,202,2022-05-15,2022Q2,7955.31,4421.15,13603.55,10,2026-02-19 12:22:34.999368
13118,202,2022-08-15,2022Q3,8193.97,4553.79,14011.65,10,2026-02-19 12:22:34.999368
13119,202,2022-11-15,2022Q4,8439.79,4690.4,14432.0,10,2026-02-19 12:22:34.999368
13120,202,2023-02-15,2023Q1,8692.98,4831.11,14864.96,10,2026-02-19 12:22:34.999368
13121,202,2023-05-15,2023Q2,8953.77,4976.05,15310.91,10,2026-02-19 12:22:34.999368
13122,202,2023-08-15,2023Q3,9222.39,5125.33,15770.24,10,2026-02-19 12:22:34.999368
13123,202,2023-11-15,2023Q4,9499.06,5279.09,16243.35,10,2026-02-19 12:22:34.999368
13124,202,2024-02-15,2024Q1,9784.03,5437.46,16730.65,10,2026-02-19 12:22:34.999368
13125,202,2024-05-15,2024Q2,10077.55,5600.58,17232.57,10,2026-02-19 12:22:34.999368
13126,202,2024-08-15,2024Q3,10379.88,5768.6,17749.54,10,2026-02-19 12:22:34.999368
13127,202,2024-11-15,2024Q4,10691.27,5941.66,18282.03,10,2026-02-19 12:22:34.999368
13136,203,2021-02-15,2021Q1,3093.33,2405.92,3437.02,10,2026-02-19 12:22:34.999368
13137,203,2021-05-15,2021Q2,3186.13,2478.09,3540.13,10,2026-02-19 12:22:34.999368
13138,203,2021-08-15,2021Q3,3281.71,2552.44,3646.34,10,2026-02-19 12:22:34.999368
13139,203,2021-11-15,2021Q4,3380.16,2629.01,3755.73,10,2026-02-19 12:22:34.999368
13140,203,2022-02-15,2022Q1,3481.57,2707.88,3868.4,10,2026-02-19 12:22:34.999368
13141,203,2022-05-15,2022Q2,3586.01,2789.12,3984.45,10,2026-02-19 12:22:34.999368
13142,203,2022-08-15,2022Q3,3693.59,2872.79,4103.98,10,2026-02-19 12:22:34.999368
13143,203,2022-11-15,2022Q4,3804.4,2958.97,4227.1,10,2026-02-19 12:22:34.999368
13144,203,2023-02-15,2023Q1,3918.53,3047.74,4353.92,10,2026-02-19 12:22:34.999368
13145,203,2023-05-15,2023Q2,4036.09,3139.18,4484.53,10,2026-02-19 12:22:34.999368
13146,203,2023-08-15,2023Q3,4157.17,3233.35,4619.07,10,2026-02-19 12:22:34.999368
13147,203,2023-11-15,2023Q4,4281.89,3330.35,4757.64,10,2026-02-19 12:22:34.999368
13148,203,2024-02-15,2024Q1,4410.34,3430.26,4900.37,10,2026-02-19 12:22:34.999368
13149,203,2024-05-15,2024Q2,4542.65,3533.17,5047.38,10,2026-02-19 12:22:34.999368
13150,203,2024-08-15,2024Q3,4678.93,3639.16,5198.8,10,2026-02-19 12:22:34.999368
13151,203,2024-11-15,2024Q4,4819.3,3748.34,5354.77,10,2026-02-19 12:22:34.999368
13160,206,2021-02-15,2021Q1,3787.51,3718.49,3795.18,10,2026-02-19 12:22:34.999368
13161,206,2021-05-15,2021Q2,3901.13,3830.04,3909.04,10,2026-02-19 12:22:34.999368
13162,206,2021-08-15,2021Q3,4018.17,3944.94,4026.31,10,2026-02-19 12:22:34.999368
13163,206,2021-11-15,2021Q4,4138.71,4063.29,4147.1,10,2026-02-19 12:22:34.999368
13164,206,2022-02-15,2022Q1,4262.87,4185.19,4271.51,10,2026-02-19 12:22:34.999368
13165,206,2022-05-15,2022Q2,4390.76,4310.75,4399.65,10,2026-02-19 12:22:34.999368
13166,206,2022-08-15,2022Q3,4522.48,4440.07,4531.64,10,2026-02-19 12:22:34.999368
13167,206,2022-11-15,2022Q4,4658.16,4573.27,4667.59,10,2026-02-19 12:22:34.999368
13168,206,2023-02-15,2023Q1,4797.9,4710.47,4807.62,10,2026-02-19 12:22:34.999368
13169,206,2023-05-15,2023Q2,4941.84,4851.78,4951.85,10,2026-02-19 12:22:34.999368
13170,206,2023-08-15,2023Q3,5090.1,4997.34,5100.4,10,2026-02-19 12:22:34.999368
13171,206,2023-11-15,2023Q4,5242.8,5147.26,5253.42,10,2026-02-19 12:22:34.999368
13172,206,2024-02-15,2024Q1,5400.08,5301.67,5411.02,10,2026-02-19 12:22:34.999368
13173,206,2024-05-15,2024Q2,5562.08,5460.72,5573.35,10,2026-02-19 12:22:34.999368
13174,206,2024-08-15,2024Q3,5728.95,5624.55,5740.55,10,2026-02-19 12:22:34.999368
13175,206,2024-11-15,2024Q4,5900.82,5793.28,5912.77,10,2026-02-19 12:22:34.999368
13184,207,2021-02-15,2021Q1,3131.92,3014.96,3547.02,10,2026-02-19 12:22:34.999368
13185,207,2021-05-15,2021Q2,3225.88,3105.41,3653.43,10,2026-02-19 12:22:34.999368
13186,207,2021-08-15,2021Q3,3322.66,3198.57,3763.03,10,2026-02-19 12:22:34.999368
13187,207,2021-11-15,2021Q4,3422.34,3294.52,3875.92,10,2026-02-19 12:22:34.999368
