Location,Cluster,2018,2019,2020,2021,2022,2023,2024,2025,2026
Abids,Core CBD,2985,3092,2600,3570,4437,4154,4071,3867,3817
Adibatla,Peripheral Growth,4597,4953,3701,4629,5327,4991,5000,4508,4377
Alkapur,Mid Residential,5439,5702,4675,6002,7458,6982,6708,6614,7017
Alwal,Mature,4892,5168,3898,4885,6055,6041,5575,5048,4885
Amberpet,Mid Residential,5968,6340,4578,6011,7436,7195,6693,6620,6911
Ameenpur,Mid Residential,2336,2477,1919,2395,2933,2689,2440,2534,2545
Annojiguda,Mid Residential,3150,3282,2727,3558,4124,3768,3643,3654,3703
Appa Junction,Mid Residential,6274,6655,5972,7946,9226,8593,8882,8479,9122
Ashok Nagar,Mid Residential,2299,2471,2200,2746,3436,3149,3051,3098,3243
Attapur,Mid Residential,3923,4119,3214,4393,5155,4963,4837,4411,4581
Bacharam,Mid Residential,4442,4709,3968,5352,6621,6245,6311,6212,6210
Bachupally,Mid Residential,6872,7346,6198,7648,9621,9554,9019,8755,9263
Bahadurpally,Mid Residential,4425,4695,3757,5016,6050,5834,6114,5640,5867
Bandlaguda,Mid Residential,6295,6697,5642,7251,8568,8083,7715,7451,7646
Bandlaguda Jagir,Mid Residential,6231,6688,5140,6736,8426,7649,7336,7421,7327
Banjara Hills,Mid Residential,4571,4841,3421,4443,5192,5154,4902,4938,5136
Beeramguda,Mid Residential,4517,4678,3982,4854,5704,5442,5001,4850,5007
Begumpet,Core CBD,4474,4625,3515,4509,5716,5237,4816,4337,4506
Boduppal,Mid Residential,4595,4811,3808,4819,6058,5487,5549,5405,5525
Bolarum,Mature,6104,6469,4903,6012,7711,7499,7529,6846,7118
Bollaram,Mid Residential,5656,6055,5072,6335,8150,7442,7137,7377,7154
Bowrampet,Mid Residential,6381,6693,4965,6416,8155,7418,7505,7778,7691
Budvel,Mid Residential,5472,5754,4587,5977,7727,7120,7141,6633,6710
Chandanagar,Mid Residential,6339,6622,5891,7740,10000,9355,9207,8622,8320
Chegur,Mid Residential,4563,4795,4228,5237,6607,6478,5969,5652,5906
Chengicherla,Mid Residential,6348,6715,5764,7755,8923,8705,8184,7722,7407
Chevella,Low Activity,6556,6863,4948,6380,7407,7092,7439,7011,7278
Chiryala,Mid Residential,4444,4750,4034,5155,6244,5881,5535,5259,5473
Chitkul,Mid Residential,2924,3123,2734,3743,4849,4630,4818,4447,4565
Damaragidda,Mid Residential,5620,5979,5096,6315,7960,7853,7699,7205,7767
Dammaiguda,Mid Residential,3582,3862,3345,4467,5395,5289,4857,4705,4701
Depalle,Mid Residential,4328,4550,3899,5374,6689,6655,6443,6488,6186
Dollar Hills,Mid Residential,3596,3849,3069,3890,4665,4465,4149,4119,3958
Dulapally,Mid Residential,5794,6253,5208,7176,8374,8007,7598,7918,8344
Dundigal,Mid Residential,6697,6939,5612,7411,9477,8638,9027,8755,9045
Financial District,IT Core,4806,5033,3731,4631,5326,4808,4551,4688,4457
Gachibowli,IT Core,2051,2138,1586,1967,2373,2159,2107,2013,2173
Gagillapur,Mid Residential,6642,7052,5481,7430,9219,9005,9263,9562,9376
Gajularamaram,Mid Residential,3843,4043,3165,3820,4582,4419,4457,4162,4269
Gandamguda,Mid Residential,3315,3535,2581,3313,4112,3732,3715,3845,4104
Gandi Maisamma,Mid Residential,6538,6744,5546,7364,8602,8524,8240,7807,8040
Gandipet,Mid Residential,5211,5490,4447,6085,7516,6985,6948,6772,6908
Ghatkesar,Mid Residential,3470,3702,3219,4412,5472,5107,5239,5463,5678
Gollur,Mid Residential,4153,4479,3947,5078,6326,5827,5909,5568,5881
Gopanpally,Mid Residential,3947,4216,3536,4371,5091,4615,4362,4483,4500
Gowdavalli,Mid Residential,4063,4249,3131,3835,4440,4105,3701,3456,3388
Gowrelly,Mid Residential,6678,6932,6000,8160,9640,8816,8382,8351,8046
Gundlapochampally,Mid Residential,3211,3356,2482,3002,3870,3599,3325,3152,3403
Habsiguda,Mid Residential,3654,3773,2935,3627,4253,3933,3585,3272,3318
Hafeezpet,Mid Residential,5139,5300,4204,5710,6596,5963,5985,6067,5944
Hakimpet,Mid Residential,4482,4648,3999,5169,6680,6435,5960,5682,6071
Hastinapuram,Mid Residential,6525,6927,5616,7225,8725,8263,8521,8294,8715
Hayathnagar,Mid Residential,2722,2842,2236,2773,3369,3172,2929,3014,2884
Himayat Nagar,Core CBD,2435,2528,2190,2657,3108,3014,2723,2659,2696
Hitec City,IT Core,4763,4967,4090,5657,6739,6491,6809,6785,6774
Ibrahimpatnam,Peripheral Growth,6316,6743,5690,7911,9526,8766,8401,7615,7960
Injapur,Mid Residential,6945,7299,5980,8253,10213,9459,9588,9176,8823
Isnapur,Mid Residential,5742,6103,4898,6243,7375,7257,7128,7291,7373
Jeedimetla,Mid Residential,5294,5491,4696,5914,7681,7337,7080,6528,6967
Jubilee Hills,Mid Residential,6584,6908,5617,7619,9715,9038,9272,9021,9736
Kachiguda,Core CBD,4389,4693,4089,5309,6270,5962,5844,5268,5323
Kalyan Nagar,Mid Residential,4675,5042,4530,6228,7171,7159,6655,6689,6785
Kamalanagar,Mid Residential,2867,2982,2620,3294,3900,3664,3430,3437,3398
Kandawada,Mid Residential,6608,6929,5099,7087,8451,8242,8290,8180,8471
Kandlakoya,Mid Residential,4279,4609,3462,4825,6193,5905,5420,4977,4755
Kandukur,Low Activity,5565,5867,5171,6508,7511,7048,7192,7543,7736
Kapra,Mid Residential,4168,4445,3124,4001,5161,4800,4397,4272,4122
Karmanghat,Mid Residential,5904,6203,4949,6462,8322,7631,7343,7260,7824
Kavadiguda,Mid Residential,3890,4114,3457,4524,5409,4984,4529,4461,4794
Keesara,Mid Residential,3877,4141,3106,4141,5322,4959,4563,4651,4599
Khajaguda,Premium,2356,2529,2192,2969,3624,3396,3355,3462,3623
