district,mandal,village,classification,price_per_sqyd,rate_type,scraped_at
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.195393
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,WEAKER SECTION,2100.0,Non-Agriculture,2026-02-25T14:56:35.195939
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR TO KAWADIPALLY,2100.0,Non-Agriculture,2026-02-25T14:56:35.195939
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR TO LASKERGUDA,2100.0,Non-Agriculture,2026-02-25T14:56:35.196473
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,NH-IX ABDULLAPUR TO INAMGUDA,7100.0,Non-Agriculture,2026-02-25T14:56:35.197017
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR-1,2100.0,Non-Agriculture,2026-02-25T14:56:35.197017
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR TO KAWADIPALLY-3,2100.0,Non-Agriculture,2026-02-25T14:56:35.197455
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET NH NO.65-1-4,7100.0,Non-Agriculture,2026-02-25T14:56:35.197455
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-3-5,2100.0,Non-Agriculture,2026-02-25T14:56:35.197965
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,WEAKER SECTION-2,2100.0,Non-Agriculture,2026-02-25T14:56:35.197965
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-3,2100.0,Non-Agriculture,2026-02-25T14:56:35.198526
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-4,2100.0,Non-Agriculture,2026-02-25T14:56:35.198526
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-5,2100.0,Non-Agriculture,2026-02-25T14:56:35.199062
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-9,2100.0,Non-Agriculture,2026-02-25T14:56:35.199062
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-1,2100.0,Non-Agriculture,2026-02-25T14:56:35.199062
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR TO LASKERGUDA-6,2100.0,Non-Agriculture,2026-02-25T14:56:35.199653
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET NH NO.65-1-7,7100.0,Non-Agriculture,2026-02-25T14:56:35.199653
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-4-7,2100.0,Non-Agriculture,2026-02-25T14:56:35.199653
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET-5-9,2100.0,Non-Agriculture,2026-02-25T14:56:35.199653
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,NH-IX ABDULLAPUR TO INAMGUDA-1,7100.0,Non-Agriculture,2026-02-25T14:56:35.200212
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR-11,2100.0,Non-Agriculture,2026-02-25T14:56:35.200212
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.200212
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.200756
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.200756
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.200756
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.200756
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.201308
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET NH NO.65-1,7100.0,Non-Agriculture,2026-02-25T14:56:35.201308
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPURMET NH NO.65-1,7100.0,Non-Agriculture,2026-02-25T14:56:35.201841
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.201841
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.201841
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,ABDULLAPUR,2100.0,Non-Agriculture,2026-02-25T14:56:35.202390
RANGAREDDY,ABDULLAPURMET,ANAJPUR,ANAJPUR,2300.0,Non-Agriculture,2026-02-25T14:56:35.837653
RANGAREDDY,ABDULLAPURMET,ANAJPUR,ANAJPUR,2300.0,Non-Agriculture,2026-02-25T14:56:35.837653
RANGAREDDY,ABDULLAPURMET,ANAJPUR,ANAJPUR,2300.0,Non-Agriculture,2026-02-25T14:56:35.837653
RANGAREDDY,ABDULLAPURMET,ANAJPUR,ANAJPUR,2300.0,Non-Agriculture,2026-02-25T14:56:35.837653
RANGAREDDY,ABDULLAPURMET,ANAJPUR,ANAJPUR-1,2300.0,Non-Agriculture,2026-02-25T14:56:35.837653
