district,district_code,mandal,mandal_code,village,village_code,rate_type,classification,value_per_unit,unit,effective_from,scraped_at
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,1.,1.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.195393
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,2.,2.0,WEAKER SECTION,"2,100",2026-02-25T14:56:35.195939
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,3.,3.0,ABDULLAPUR TO KAWADIPALLY,"2,100",2026-02-25T14:56:35.195939
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,4.,4.0,ABDULLAPUR TO LASKERGUDA,"2,100",2026-02-25T14:56:35.196473
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,5.,5.0,NH-IX ABDULLAPUR TO INAMGUDA,"7,100",2026-02-25T14:56:35.197017
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,6.,1.0,ABDULLAPUR-1,"2,100",2026-02-25T14:56:35.197017
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,7.,3.0,ABDULLAPUR TO KAWADIPALLY-3,"2,100",2026-02-25T14:56:35.197455
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,8.,3.0,ABDULLAPURMET NH NO.65-1-4,"7,100",2026-02-25T14:56:35.197455
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,9.,3.0,ABDULLAPURMET-3-5,"2,100",2026-02-25T14:56:35.197965
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,10.,2.0,WEAKER SECTION-2,"2,100",2026-02-25T14:56:35.197965
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,11.,3.0,ABDULLAPURMET-3,"2,100",2026-02-25T14:56:35.198526
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,12.,4.0,ABDULLAPURMET-4,"2,100",2026-02-25T14:56:35.198526
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,13.,5.0,ABDULLAPURMET-5,"2,100",2026-02-25T14:56:35.199062
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,14.,9.0,ABDULLAPURMET-9,"2,100",2026-02-25T14:56:35.199062
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,15.,10.0,ABDULLAPURMET-1,"2,100",2026-02-25T14:56:35.199062
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,16.,4.0,ABDULLAPUR TO LASKERGUDA-6,"2,100",2026-02-25T14:56:35.199653
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,17.,4.0,ABDULLAPURMET NH NO.65-1-7,"7,100",2026-02-25T14:56:35.199653
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,18.,4.0,ABDULLAPURMET-4-7,"2,100",2026-02-25T14:56:35.199653
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,19.,5.0,ABDULLAPURMET-5-9,"2,100",2026-02-25T14:56:35.199653
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,20.,5.0,NH-IX ABDULLAPUR TO INAMGUDA-1,"7,100",2026-02-25T14:56:35.200212
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,21.,6.0,ABDULLAPUR-11,"2,100",2026-02-25T14:56:35.200212
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,22.,11.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.200212
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,23.,12.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.200756
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,24.,13.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.200756
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,25.,14.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.200756
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,26.,15.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.200756
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,27.,2.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.201308
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,28.,3.0,ABDULLAPURMET NH NO.65-1,"7,100",2026-02-25T14:56:35.201308
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,29.,4.0,ABDULLAPURMET NH NO.65-1,"7,100",2026-02-25T14:56:35.201841
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034,Non-Agriculture,30.,6.0,ABDULLAPUR,"2,100",2026-02-25T14:56:35.201841
