District,District_Code,Mandal,Mandal_Code,Village,Village_Code
RANGAREDDY,15_1,ABDULLAPURMET,01,ABDULLAPUR,1514034
RANGAREDDY,15_1,ABDULLAPURMET,01,ANAJPUR,1514041
RANGAREDDY,15_1,ABDULLAPURMET,01,BACHARAM,1514010
RANGAREDDY,15_1,ABDULLAPURMET,01,BALJAGUDA,1514015
RANGAREDDY,15_1,ABDULLAPURMET,01,BANDARAVIRYAL,1514012
RANGAREDDY,15_1,ABDULLAPURMET,01,BATASINGARAM,1514036
RANGAREDDY,15_1,ABDULLAPURMET,01,DAIRA,1514011
RANGAREDDY,15_1,ABDULLAPURMET,01,GOWRELLI,1514009
RANGAREDDY,15_1,ABDULLAPURMET,01,GUNTAPALLE,1514040
RANGAREDDY,15_1,ABDULLAPURMET,01,HATHIGUDA,1514003
RANGAREDDY,15_1,ABDULLAPURMET,01,INAMGUDA,1514033
RANGAREDDY,15_1,ABDULLAPURMET,01,INJAPUR,1514023
RANGAREDDY,15_1,ABDULLAPURMET,01,KAWADIPALLE,1514035
RANGAREDDY,15_1,ABDULLAPURMET,01,KOHEDA,1514029
RANGAREDDY,15_1,ABDULLAPURMET,01,KUNTLOOR,1514018
RANGAREDDY,15_1,ABDULLAPURMET,01,LASKERGUDA,1514032
RANGAREDDY,15_1,ABDULLAPURMET,01,MANNEGUDA,1514025
RANGAREDDY,15_1,ABDULLAPURMET,01,MARRIPALLE,1514006
RANGAREDDY,15_1,ABDULLAPURMET,01,MAZIDPUR,1514038
RANGAREDDY,15_1,ABDULLAPURMET,01,MUNGANOOR,1514027
RANGAREDDY,15_1,AMANGAL,02,AKUTHOTAPALLE,1416009
RANGAREDDY,15_1,AMANGAL,02,AMANGAL,1416013
RANGAREDDY,15_1,AMANGAL,02,CHENNAMPALLE,1416014
RANGAREDDY,15_1,AMANGAL,02,KONAPUR,1416010
RANGAREDDY,15_1,AMANGAL,02,POLEPALLE,1416016
RANGAREDDY,15_1,AMANGAL,02,RAMANUTHULA,1416011
RANGAREDDY,15_1,AMANGAL,02,SETTIPALLE,1416008
RANGAREDDY,15_1,AMANGAL,02,SINGAM PALLE,1416015
RANGAREDDY,15_1,AMANGAL,02,VITHAIPALLE,1416012
RANGAREDDY,15_1,BALAPUR,03,ALMASGUDA,1515015
RANGAREDDY,15_1,BALAPUR,03,BADANGPET,1515017
RANGAREDDY,15_1,BALAPUR,03,BALAPUR,1515020
RANGAREDDY,15_1,BALAPUR,03,CHINTALAKUNTA,1515018
RANGAREDDY,15_1,BALAPUR,03,DAWOODKHANGUDA,1515016
RANGAREDDY,15_1,BALAPUR,03,JALPALLE,1515025
RANGAREDDY,15_1,BALAPUR,03,JILLALGUDA,1515012
RANGAREDDY,15_1,BALAPUR,03,KOTHAPET,1515021
RANGAREDDY,15_1,BALAPUR,03,KURMALGUDA,1515028
RANGAREDDY,15_1,BALAPUR,03,MALLAPUR,1515022
RANGAREDDY,15_1,BALAPUR,03,MAMIDIPALLE,1515027
RANGAREDDY,15_1,BALAPUR,03,MEDBOWLI,1515013
RANGAREDDY,15_1,BALAPUR,03,MEERPET,1515014
RANGAREDDY,15_1,BALAPUR,03,NADARGUL,1515029
RANGAREDDY,15_1,BALAPUR,03,PAPAYAKUMANDAN,1515026
RANGAREDDY,15_1,BALAPUR,03,RENUKAPUR,1515023
RANGAREDDY,15_1,BALAPUR,03,VENKATAPUR,1515024
RANGAREDDY,15_1,CHEVELLA,04,ALLAWADA,1518031
RANGAREDDY,15_1,CHEVELLA,04,ALOOR I,1518004
RANGAREDDY,15_1,CHEVELLA,04,ALOOR II,1518005
RANGAREDDY,15_1,CHEVELLA,04,ALOOR III,1518006
RANGAREDDY,15_1,CHEVELLA,04,ANANTAWARAM,1518003
RANGAREDDY,15_1,CHEVELLA,04,BASTEPUR,1518022
RANGAREDDY,15_1,CHEVELLA,04,CHANVELLI,1518029
RANGAREDDY,15_1,CHEVELLA,04,CHEVELLA,1518032
RANGAREDDY,15_1,CHEVELLA,04,DAMERGIDDA,1518021
RANGAREDDY,15_1,CHEVELLA,04,DEVARAMPALLE,1518028
RANGAREDDY,15_1,CHEVELLA,04,DEVUNI ERRAVELLY,1518019
RANGAREDDY,15_1,CHEVELLA,04,EERLAPALLY,1518037
RANGAREDDY,15_1,CHEVELLA,04,GOLLAPALLE,1518015
RANGAREDDY,15_1,CHEVELLA,04,GUNDAL,1518036
RANGAREDDY,15_1,CHEVELLA,04,HASTHEPUR,1518001
RANGAREDDY,15_1,CHEVELLA,04,IBRAHIMPALLE,1518020
RANGAREDDY,15_1,CHEVELLA,04,KAMMETA,1518014
RANGAREDDY,15_1,CHEVELLA,04,KANDUWADA,1518035
